stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
"de:08121:31501:1:2","Heilbronn Kaufland","49.16985775","9.22448524","","","","Pde:08121:31501"
"de:08121:55:2:2","Heilbronn Rathaus","49.14203373","9.21835873","","","","Pde:08121:55"
"de:08121:55:3:1","Heilbronn Rathaus","49.14201022","9.21867314","","","","Pde:08121:55"
"de:08121:59:0:0","Böckingen Sandhof","49.14067033","9.18213866","","","","Pde:08121:59"
"de:08121:59:0:1","Böckingen Sandhof","49.14068208","9.18290223","","","","Pde:08121:59"
"de:08121:75:1:1","Heilbronn Sülmertor","49.15137085","9.22047876","","","","Pde:08121:75"
"de:08121:75:3:2","Heilbronn Sülmertor","49.15101244","9.22016435","","","","Pde:08121:75"
"de:08121:77:3:3","Böckingen Sonnenbrunnen (Ersatz)","49.14106995","9.19162487","","","","Pde:08121:77"
"de:08121:77:3:4","Böckingen Sonnenbrunnen (Ersatz)","49.14118749","9.19186741","","","","Pde:08121:77"
"de:08121:77:90:2","Böckingen Sonnenbrunnen","49.14031184","9.19295438","","","","Pde:08121:77"
"de:08121:77:91:1","Böckingen Sonnenbrunnen","49.14092891","9.18961264","","","","Pde:08121:77"
"de:08121:8170:1:1","Heilbronn Trappensee","49.14082900","9.25395897","","","","Pde:08121:8170"
"de:08121:8170:2:2","Heilbronn Trappensee","49.14000624","9.25169521","","","","Pde:08121:8170"
"de:08121:8194:0:0","Heilbronn Pfühlpark West","49.14107583","9.24481412","","","","Pde:08121:8194"
"de:08121:8194:0:1","Heilbronn Pfühlpark West","49.14102881","9.24483208","","","","Pde:08121:8194"
"de:08125:10013:0:1","Weinsberg Weidachstraße","49.15333912","9.27413513","","","","Pde:08125:10013"
"de:08125:10013:0:2","Weinsberg Weidachstraße","49.15355063","9.27389258","","","","Pde:08125:10013"
"de:08125:1023:2:1","Eschenau (b. Heilbronn)","49.14416103","9.40405847","","","","Pde:08125:1023"
"de:08125:1023:3:2","Eschenau (b. Heilbronn)","49.14357339","9.40157912","","","","Pde:08125:1023"
"de:08125:1110:1:3","Eppingen West","49.13240096","8.90462212","0278","","","Pde:08125:1110"
"de:08125:1110:1:4","Eppingen West","49.13234218","8.90472093","0278","","","Pde:08125:1110"
"de:08125:1110:2:1","Eppingen West","49.13248913","8.90411008","0278","","","Pde:08125:1110"
"de:08125:1110:90:2","Eppingen West","49.13260080","8.90464009","0278","","","Pde:08125:1110"
"de:08125:1120:1","Bad Friedrichshall-Kochendorf","49.21835375","9.21158543","","","","Pde:08125:1120"
"de:08125:1120:2:1","Bad Friedrichshall-Kochendorf","49.21906959","9.21066915","","","","Pde:08125:1120"
"de:08125:1120:2:2","Bad Friedrichshall-Kochendorf","49.21860019","9.21095661","","","","Pde:08125:1120"
"de:08125:1565:1:1","Wieslensdorf","49.14974330","9.42214155","","","","Pde:08125:1565"
"de:08125:1565:2:2","Wieslensdorf","49.14988432","9.42251885","","","","Pde:08125:1565"
"de:08125:1565:90:91","Wieslensdorf (Ersatzhalt)","49.14494847","9.42838485","","","","Pde:08125:1565"
"de:08125:1565:90:92","Wieslensdorf (Ersatzhalt)","49.14518939","9.42869027","","","","Pde:08125:1565"
"de:08125:1598:1:1","Weinsberg/Ellhofen Gewerbegeb.","49.14879142","9.30603430","","","","Pde:08125:1598"
"de:08125:1598:2:2","Weinsberg/Ellhofen Gewerbegeb.","49.14868566","9.30479463","","","","Pde:08125:1598"
"de:08125:1598:3","Weinsberg/Ellhofen Gewerbegebiet","49.14847412","9.30738178","","","","Pde:08125:1598"
"de:08125:1621:0:1","Neckarsulm","49.18887789","9.21886179","","","","Pde:08125:620"
"de:08125:1630:1:1","Bad Rappenau Kurpark","49.24038754","9.11358822","","","",""
"de:08125:1700:2:1","Stetten am Heuchelberg","49.13699131","9.01524965","","","","Pde:08125:1700"
"de:08125:1700:2:2","Stetten am Heuchelberg","49.13667981","9.01414472","","","","Pde:08125:1700"
"de:08125:1705:1:1","Schwaigern West","49.13904242","9.04197453","","","","Pde:08125:1705"
"de:08125:1705:1:2","Schwaigern West","49.13886024","9.04307047","","","","Pde:08125:1705"
